Protein,Log2 Fold,p-value,Unique Pep,Sig1,Sig2,Clamped
slr1259,-0.386603802,1.07E-02,4,FALSE,FALSE,0
sll1358,-0.3896612805,3.78E-13,8,TRUE,FALSE,-0.3896612805
sll1054,-0.3937086969,1.81E-03,5,FALSE,FALSE,0
slr0084,-0.3967507147,2.18E-05,1,FALSE,FALSE,0
slr1171,-0.409954298,1.64E-07,8,TRUE,FALSE,-0.409954298
slr0936,-0.4123808699,4.87E-06,1,FALSE,FALSE,0
slr1992,-0.4193544024,6.43E-10,7,TRUE,FALSE,-0.4193544024
smr0006,-0.4203636,1.48E-04,2,FALSE,FALSE,0
slr1136,-0.4216697336,4.60E-06,1,FALSE,FALSE,0
sll0842,-0.4354696615,2.58E-03,1,FALSE,FALSE,0
slr1281,-0.439212262,1.82E-06,7,TRUE,FALSE,-0.439212262
sll0509,-0.4423094738,3.71E-02,1,FALSE,FALSE,0
slr2043,-0.4466636576,2.15E-03,1,FALSE,FALSE,0
sll1018,-0.4522436881,1.14E-04,3,FALSE,FALSE,0
sll0258,-0.5007270524,2.51E-13,11,TRUE,FALSE,-0.5007270524
slr0806,-0.5136758215,1.64E-08,5,TRUE,FALSE,-0.5136758215
slr1677,-0.5218531527,6.61E-03,1,FALSE,FALSE,0
sll1383,-0.529002873,1.10E-09,3,TRUE,FALSE,-0.529002873
sll1734,-0.5358715464,7.54E-14,9,TRUE,FALSE,-0.5358715464
slr0185,-0.5406103277,0.00E+00,7,TRUE,FALSE,-0.5406103277
slr1516,-0.5412365396,1.38E-07,9,TRUE,FALSE,-0.5412365396
sll0807,-0.5456616507,8.63E-07,6,TRUE,FALSE,-0.5456616507
sll0660,-0.5518075411,6.73E-08,4,TRUE,FALSE,-0.5518075411
sll0554,-0.5678029998,1.73E-11,3,TRUE,FALSE,-0.5678029998
sll1662,-0.5697992994,5.14E-10,3,TRUE,FALSE,-0.5697992994
sll1669,-0.5836318594,3.83E-10,2,TRUE,FALSE,-0.5836318594
slr1542,-0.5981157579,1.88E-06,2,TRUE,FALSE,-0.5981157579
slr0186,-0.6009021266,2.23E-10,13,TRUE,FALSE,-0.6009021266
slr1467,-0.6114261762,2.87E-11,3,TRUE,FALSE,-0.6114261762
sll1635,-0.6142900959,0.00E+00,4,TRUE,FALSE,-0.6142900959
sll1035,-0.6180323232,6.65E-12,11,TRUE,FALSE,-0.6180323232
slr0447,-0.620942573,2.63E-10,10,TRUE,FALSE,-0.620942573
slr0899,-0.6282353089,7.76E-13,5,TRUE,FALSE,-0.6282353089
slr0467,-0.6571298976,1.47E-06,1,FALSE,FALSE,0
slr1216,-0.6647104177,3.16E-08,3,TRUE,FALSE,-0.6647104177
slr1743,-0.6716207731,0.00E+00,7,TRUE,FALSE,-0.6716207731
slr1512,-0.6891330441,8.88E-16,3,TRUE,FALSE,-0.6891330441
sll1815,-0.7054975891,8.20E-13,10,TRUE,FALSE,-0.7054975891
slr1348,-0.7116019478,2.15E-05,1,FALSE,FALSE,0
sll0635,-0.7202589636,0.00E+00,3,TRUE,FALSE,-0.7202589636
sll0420,-0.7229734696,2.63E-13,2,TRUE,FALSE,-0.7229734696
sll1653,-0.7421688704,5.61E-08,5,TRUE,FALSE,-0.7421688704
slr0329,-0.7881207557,1.27E-09,1,FALSE,FALSE,0
slr1622,-0.7932662821,0.00E+00,11,TRUE,FALSE,-0.7932662821
sll0450,-0.8031312403,1.91E-12,1,FALSE,FALSE,0
slr0150,-0.8239977565,1.04E-05,1,FALSE,FALSE,0
sll0135,-0.833775248,2.08E-06,2,TRUE,FALSE,-0.833775248
sll1059,-0.8506059666,1.44E-13,7,TRUE,FALSE,-0.8506059666
slr1256,-0.853387847,1.24E-03,1,FALSE,FALSE,0
slr2132,-0.8591803839,6.20E-06,1,FALSE,FALSE,0
slr0836,-0.8629738232,1.68E-11,1,FALSE,FALSE,0
slr0477,-0.8717833473,3.88E-03,5,FALSE,FALSE,0
sll1831,-0.8781331393,2.96E-06,1,FALSE,FALSE,0
slr1739,-0.8944936659,7.73E-14,4,TRUE,FALSE,-0.8944936659
slr1476,-0.9013349287,3.12E-13,3,TRUE,FALSE,-0.9013349287
sll1138,-0.9530340113,4.58E-08,2,TRUE,FALSE,-0.9530340113
slr0406,-0.9708497111,1.28E-07,2,TRUE,FALSE,-0.9708497111
sll0745,-1.006554966,1.55E-09,1,FALSE,FALSE,0
sll1194,-1.012860762,0.00E+00,8,TRUE,FALSE,-1.012860762
slr1791,-1.069497204,6.66E-16,1,FALSE,FALSE,0
sll0063,-1.072052356,0.00E+00,1,FALSE,FALSE,0
sll1556,-1.11995319,3.21E-09,2,TRUE,FALSE,-1.11995319
slr0387,-1.178794166,1.94E-10,1,FALSE,FALSE,0
sll0744,-1.359327505,0.00E+00,2,TRUE,TRUE,-1.359327505
slr0091,-1.374578348,1.30E-05,1,FALSE,FALSE,0
sll0199,-1.387345327,2.22E-16,5,TRUE,TRUE,-1.387345327
sll0099,-1.431784083,2.94E-11,1,FALSE,FALSE,0
slr0033,-1.473779058,0.00E+00,2,TRUE,TRUE,-1.473779058
sll1878,-1.506165799,2.97E-03,1,FALSE,FALSE,0
sll1643,-1.829781096,4.93E-12,1,FALSE,FALSE,0
slr1899,-2.11203046,3.92E-13,1,FALSE,FALSE,0
slr1452,-4.686151411,0.00E+00,9,TRUE,TRUE,-4.686151411
